prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.0403226,1,0.3831728,0.41342,0.0917526,0.4861797
0.0423492,0,0.5890595,0.3391,0.0837577,0.4888288
0.0611304,1,0.1371516,0.54191,0.1205383,0.5549849
0.0513915,1,0.2892218,0.45948,0.1070713,0.5499479
0.0481662,0,0.3587759,0.44221,0.1105741,0.5356328
0.0331304,1,0.4011421,0.43606,0.1127969,0.5165257
0.0676387,0,0.2318018,0.43201,0.0975793,0.5499872
0.1105678,0,0.0368878,0.54793,0.0911725,0.6061178
0.1600284,0,0.0640119,0.50724,0.0866606,0.5927578
0.1035549,0,0.0131411,0.52522,0.0965264,0.584769
0.0946746,1,0.1523456,0.48605,0.0846895,0.6085897
0.0640393,1,0.2754225,0.45588,0.0916502,0.5064815
0.06628,0,0.3115669,0.49457,0.0744046,0.5995172
0.1098351,1,0.2669657,0.40654,0.0844293,0.5223682
0.0964401,0,0.0132547,0.6147,0.0929799,0.5613645
0.1020266,0,0.0025872,0.64592,0.0978226,0.5915421
0.0977881,0,0.0454877,0.58789,0.1108597,0.5340424
0.0633562,1,0.0481373,0.56133,0.1008317,0.5950271
0.0545928,1,0.2136385,0.43429,0.1053296,0.5156981
0.0643094,1,0.0793115,0.50886,0.1047662,0.5097452
0.0646154,0,0.0209295,0.58486,0.0930194,0.5004672
0.0645286,1,0.0774874,0.50617,0.0946256,0.5725184
0.074721,0,0.0238411,0.59267,0.1045015,0.5833583
0.0757946,0,0.0111362,0.60029,0.1051584,0.5904371
0.0524627,1,0.0823303,0.51967,0.1061857,0.5432631
0.0637947,1,0.0640125,0.55851,0.0953845,0.5709947
0.0742049,0,0.0029977,0.59513,0.1048769,0.6120474
0.0766283,0,0.0029294,0.59919,0.1066448,0.6075249
0.0781781,0,0.0027718,0.60627,0.1018139,0.6047077
0.0745098,0,0.0038019,0.55639,0.1050274,0.621029
0.0487516,1,0.1164486,0.57763,0.1121586,0.5559458
0.0540025,0,0.0186798,0.6441,0.1047525,0.5970162
0.0546559,1,0.0388238,0.58992,0.1155254,0.586365
0.0511691,1,0.1174468,0.52377,0.1022449,0.5464224
0.0520325,1,0.027793000000000002,0.5188,0.1012795,0.6028495
0.1070111,1,0.0027234,0.63237,0.0940376,0.623225
0.0537296,1,0.0904804,0.49024,0.111434,0.5443232
0.0633333,0,0.0261227,0.50797,0.1137969,0.6035464
0.0728395,0,0.0514152,0.55225,0.1064566,0.6164842
0.0818752,1,0.0744407,0.61918,0.1074444,0.6120344
0.0520619,1,0.1320307,0.50597,0.119794,0.5409734
0.092707,1,0.013464,0.58073,0.1234292,0.5858892
0.0762868,0,0.0678778,0.60993,0.1010308,0.5677363
0.0919693,1,0.0325208,0.59154,0.1069637,0.6029915
0.0732919,0,0.0147756,0.68377,0.0985659,0.5813956
0.069812,1,0.0520175,0.66504,0.0895814,0.5904006
0.0575786,1,0.0973125,0.55198,0.1053628,0.5375096
0.0822222,0,0.0113456,0.68053,0.1003512,0.6021588
0.0600484,1,0.1066383,0.54475,0.1059721,0.5523371
0.073401,1,0.0332389,0.62733,0.1049144,0.5901995
0.0906822,0,0.0055664,0.63501,0.0999485,0.6112475
0.0661661,1,0.0376271,0.53661,0.1181313,0.5880635
0.0531631,1,0.0579176,0.55677,0.1148783,0.5693848
0.0659341,1,0.067537,0.57293,0.1051433,0.5756478
0.0490063,1,0.1408303,0.47947,0.115419,0.5496563
